epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,408.527,0.68667,0.86986,0.48704,1.22901,0.96696,1,0.99326,0.84964,0.97542,0.97567,0.99403,0.83114,0.58284,1.28144,0.68526,1.15063,0.008086,0.008086,0.008086
31,422.773,0.68851,0.80724,0.48398,1.21441,0.97205,0.91803,0.97548,0.79635,0.97205,0.91803,0.97548,0.80123,0.67266,1.14235,0.60173,1.25247,0.00802,0.00802,0.00802
32,437.031,0.67437,0.79605,0.47492,1.20139,0.97536,0.97333,0.99133,0.83006,0.97536,0.97333,0.99133,0.83117,0.62839,1.08153,0.52212,1.21415,0.007954,0.007954,0.007954
33,451.304,0.62789,0.81961,0.46039,1.17853,0.99134,0.98361,0.99461,0.89334,0.99134,0.98361,0.99461,0.91193,0.47387,0.76928,0.38284,1.06048,0.007888,0.007888,0.007888
34,465.946,0.62846,0.78954,0.4474,1.17126,0.83338,0.7377,0.83196,0.68161,0.82638,0.72951,0.81615,0.65513,0.77872,2.04925,0.91392,1.42497,0.007822,0.007822,0.007822
35,479.383,0.644,0.77383,0.45142,1.17097,0.98183,1,0.99459,0.89023,0.98183,1,0.99459,0.90211,0.47369,0.77402,0.38108,1.04475,0.007756,0.007756,0.007756
36,491.173,0.61944,0.75419,0.44392,1.16325,0.86051,0.88525,0.94565,0.78246,0.92129,0.81967,0.94752,0.79108,0.64131,1.22596,0.6609,1.2312,0.00769,0.00769,0.00769
37,503.657,0.63347,0.79878,0.44814,1.17643,0.9917,0.97885,0.99467,0.86648,0.9917,0.97885,0.99459,0.89279,0.54112,0.81099,0.41464,1.09385,0.007624,0.007624,0.007624
38,518.196,0.59512,0.77836,0.42217,1.14015,0.97762,0.95902,0.99357,0.87699,0.97529,0.97047,0.99379,0.85742,0.52611,1.14441,0.44678,1.09615,0.007558,0.007558,0.007558
39,533.239,0.60564,0.74654,0.42709,1.14991,0.98915,0.9918,0.98926,0.88541,0.98915,0.9918,0.98926,0.88087,0.48907,0.89497,0.37838,1.06428,0.007492,0.007492,0.007492
40,548.231,0.58375,0.75295,0.41485,1.13027,0.97253,0.93443,0.98747,0.86258,0.95896,0.95776,0.98844,0.86399,0.53918,1.00094,0.43737,1.13574,0.007426,0.007426,0.007426
41,563.196,0.5891,0.78733,0.42122,1.13567,0.98814,0.90164,0.98086,0.8462,0.98814,0.90164,0.97464,0.86759,0.53329,0.99373,0.50942,1.1163,0.00736,0.00736,0.00736
42,577.904,0.5731,0.69952,0.41019,1.12022,0.94716,0.7377,0.85808,0.69256,0.93413,0.7541,0.8618,0.68823,0.82149,1.78995,0.90289,1.39588,0.007294,0.007294,0.007294
43,592.103,0.57969,0.7019,0.41284,1.13064,0.99738,0.9918,0.995,0.93027,0.99738,0.9918,0.995,0.94276,0.4019,0.66646,0.32153,0.98499,0.007228,0.007228,0.007228
44,606.316,0.55815,0.70927,0.40269,1.11179,0.98868,1,0.99492,0.91429,0.98868,1,0.99492,0.93575,0.4212,0.68074,0.34216,0.99559,0.007162,0.007162,0.007162
45,620.716,0.55933,0.72004,0.40279,1.10902,0.96787,0.98753,0.99385,0.87721,0.95983,0.97933,0.9927,0.88472,0.48535,0.98927,0.41056,1.07067,0.007096,0.007096,0.007096
46,633.592,0.53801,0.69869,0.38684,1.09252,0.98769,0.9918,0.995,0.91933,0.98769,0.9918,0.995,0.92409,0.42111,0.68004,0.332,0.98483,0.00703,0.00703,0.00703
47,647.322,0.54187,0.70533,0.38765,1.1026,0.89901,0.94861,0.96629,0.82329,0.89124,0.94041,0.9556,0.81498,0.56561,1.12831,0.51751,1.15545,0.006964,0.006964,0.006964
48,661.457,0.53613,0.68169,0.3891,1.09699,0.95205,0.9918,0.99347,0.89764,0.95205,0.9918,0.99287,0.89155,0.46583,0.90594,0.38775,1.0353,0.006898,0.006898,0.006898
49,676.192,0.53365,0.66545,0.38265,1.09272,0.99003,0.9918,0.995,0.93589,0.98185,0.98361,0.99121,0.93536,0.40061,0.74323,0.33774,0.99479,0.006832,0.006832,0.006832
50,689.352,0.53326,0.68065,0.38045,1.09176,0.97315,0.93443,0.98112,0.84574,0.97315,0.93443,0.9786,0.82834,0.52743,1.20615,0.47809,1.12921,0.006766,0.006766,0.006766
51,702.535,0.5223,0.6532,0.3763,1.09235,0.99507,0.9918,0.995,0.90461,0.99507,0.9918,0.995,0.92553,0.44335,0.83803,0.3431,1.00211,0.0067,0.0067,0.0067
52,716.373,0.52222,0.6852,0.37918,1.08881,0.96949,0.95082,0.99069,0.89294,0.96114,0.94262,0.98438,0.87844,0.46965,1.03851,0.42785,1.05634,0.006634,0.006634,0.006634
53,730.807,0.51285,0.65081,0.37246,1.07718,1,0.98235,0.99484,0.90445,1,0.98235,0.99484,0.91884,0.42382,0.74568,0.36337,1.01378,0.006568,0.006568,0.006568
54,745.026,0.51878,0.62014,0.37052,1.08237,0.99423,1,0.995,0.92797,0.99423,1,0.995,0.95253,0.39089,0.69177,0.30081,0.9423,0.006502,0.006502,0.006502
55,757.971,0.50454,0.64473,0.35425,1.06398,0.99671,0.9918,0.995,0.93752,0.99671,0.9918,0.995,0.95708,0.35885,0.69819,0.29947,0.94234,0.006436,0.006436,0.006436
56,771.697,0.51122,0.66036,0.36101,1.07568,0.98409,0.9918,0.99475,0.91802,0.98409,0.9918,0.99475,0.90744,0.40899,0.84349,0.3428,0.98353,0.00637,0.00637,0.00637
57,785.962,0.49934,0.65418,0.36039,1.06808,0.99681,1,0.995,0.94616,0.99681,1,0.995,0.94337,0.34169,0.70047,0.27739,0.93492,0.006304,0.006304,0.006304
58,800.125,0.51414,0.61204,0.3634,1.0752,0.98259,0.9918,0.99475,0.92485,0.98259,0.9918,0.99475,0.91121,0.39247,0.84473,0.32138,0.98933,0.006238,0.006238,0.006238
