epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1781.96,0.31997,0.42711,0.2328,0.94501,0.99941,1,0.995,0.99156,0.99941,1,0.995,0.98759,0.19659,0.54744,0.16934,0.83303,0.001156,0.001156,0.001156
136,1794.27,0.31552,0.4367,0.2307,0.94375,0.99908,1,0.995,0.98448,0.99908,1,0.995,0.98431,0.20188,0.56137,0.1735,0.84192,0.00109,0.00109,0.00109
137,1806.3,0.31792,0.43962,0.231,0.94287,0.9984,1,0.995,0.99044,0.9984,1,0.995,0.9838,0.18782,0.56582,0.1705,0.83238,0.001024,0.001024,0.001024
138,1818.06,0.31674,0.43109,0.23182,0.93883,0.99841,1,0.995,0.99006,0.99841,1,0.995,0.9827,0.19137,0.56011,0.17148,0.83171,0.000958,0.000958,0.000958
139,1830.08,0.31678,0.41612,0.225,0.94145,0.99914,1,0.995,0.99152,0.99914,1,0.995,0.98506,0.19087,0.54612,0.16999,0.83035,0.000892,0.000892,0.000892
140,1842.24,0.31029,0.42202,0.22178,0.94524,0.99926,1,0.995,0.99019,0.99926,1,0.995,0.98178,0.18831,0.55035,0.16703,0.82962,0.000826,0.000826,0.000826
141,1861.89,0.1868,0.32667,0.18557,0.81776,0.99915,1,0.995,0.9883,0.99915,1,0.995,0.97899,0.20553,0.55042,0.17921,0.83998,0.00076,0.00076,0.00076
142,1873.75,0.18621,0.31276,0.17754,0.82466,0.9988,1,0.995,0.98451,0.9988,1,0.995,0.98244,0.20488,0.55676,0.17534,0.84194,0.000694,0.000694,0.000694
143,1885.8,0.18315,0.31288,0.16872,0.81735,0.99804,1,0.995,0.9885,0.99804,1,0.995,0.98451,0.19533,0.56138,0.17305,0.83653,0.000628,0.000628,0.000628
144,1897.72,0.17895,0.3087,0.17018,0.81651,0.9977,1,0.995,0.98856,0.9977,1,0.995,0.98551,0.19613,0.55503,0.16825,0.83596,0.000562,0.000562,0.000562
145,1910.12,0.1718,0.31353,0.16187,0.8113,0.99831,1,0.995,0.98965,0.99831,1,0.995,0.9875,0.18646,0.5391,0.16407,0.83404,0.000496,0.000496,0.000496
146,1923.17,0.17626,0.30559,0.16618,0.8142,0.9982,1,0.995,0.99064,0.9982,1,0.995,0.9884,0.18663,0.53687,0.16302,0.83217,0.00043,0.00043,0.00043
147,1935.26,0.16946,0.30511,0.16029,0.80546,0.99781,1,0.995,0.99092,0.99781,1,0.995,0.98581,0.18378,0.5401,0.16081,0.83033,0.000364,0.000364,0.000364
148,1947.26,0.1642,0.2934,0.16066,0.80819,0.99787,1,0.995,0.98901,0.99787,1,0.995,0.98688,0.18385,0.53038,0.16339,0.83219,0.000298,0.000298,0.000298
149,1959.44,0.16493,0.29492,0.15868,0.81184,0.99748,1,0.995,0.99119,0.99748,1,0.995,0.98673,0.18071,0.53603,0.15891,0.83065,0.000232,0.000232,0.000232
150,1971.39,0.16415,0.29903,0.15753,0.80395,0.99761,1,0.995,0.99022,0.99761,1,0.995,0.98745,0.18141,0.53582,0.15937,0.82964,0.000166,0.000166,0.000166
